comp,binmin,binmax,starmed,starmed-,starmed+,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
disc,0.0,1.0,0.62,0.28,0.91,0.2564,-0.0373,+0.0282,3.8,-20.3,+18.3,25.3,-13.6,+12.7,-94.4,-11.3,+8.9,48.1,-27.1,+31.2,146.5,-11.3,+12.7,144.5,-11.8,+13.2,50.6,-5.5,+5.9,
bar,0.0,1.0,0.62,0.28,0.91,0.0927,-0.0263,+0.0288,0.5,-8.4,+5.0,0.5,-7.6,+4.4,-5.8,-5.6,+6.6,60.0,-4.2,+4.6,165.9,-26.9,+25.5,44.4,-16.3,+12.3,12.4,-1.9,+3.6,
knot,0.0,1.0,0.62,0.28,0.91,0.6517,-0.0196,+0.0229,0.0,-0.3,+0.2,-0.0,-0.3,+0.3,-0.0,-0.3,+0.3,27.5,-43.6,+18.8,10.9,-0.6,+0.6,10.3,-0.2,+0.5,10.0,-0.0,+0.1,
disc,1.0,2.0,1.52,1.15,1.86,0.4632,-0.0298,+0.0287,6.8,-6.9,+6.7,-8.0,-6.3,+6.5,-158.4,-7.6,+7.9,6.0,-6.7,+4.4,147.4,-4.6,+4.9,116.3,-5.6,+6.1,102.2,-4.3,+4.4,
knot,1.0,2.0,1.52,1.15,1.86,0.1605,-0.027,+0.0268,-13.8,-12.3,+13.6,2.0,-5.1,+5.2,-23.3,-9.6,+8.4,47.9,-3.3,+3.6,135.5,-12.5,+12.2,33.7,-7.8,+9.0,47.7,-6.5,+6.1,
bar,1.0,2.0,1.52,1.15,1.86,0.3762,-0.0141,+0.0139,0.0,-0.4,+0.3,-0.1,-0.2,+0.4,-0.1,-0.2,+0.5,9.7,-77.0,+6.9,11.7,-1.6,+0.7,10.1,-0.1,+1.9,10.1,-0.1,+0.2,
disc,2.0,3.0,2.54,2.16,2.88,0.7119,-0.016,+0.0189,-7.2,-2.8,+2.8,2.0,-1.6,+1.2,-330.1,-4.4,+4.7,74.5,-3.6,+3.6,164.6,-3.2,+3.3,136.4,-2.1,+2.2,148.7,-3.0,+3.2,
-,2.0,3.0,2.54,2.16,2.88,0.0012,-0.0007,+0.0006,40.7,-52.0,+52.1,89.2,-20.1,+70.3,74.9,-24.2,+83.7,62.2,-16.2,+19.2,18.2,-3.7,+8.6,13.8,-2.4,+6.3,16.1,-3.8,+9.4,
bar,2.0,3.0,2.54,2.16,2.88,0.2868,-0.0187,+0.0158,-0.6,-4.5,+2.3,-1.6,-1.3,+1.2,-89.9,-6.3,+7.4,67.1,-0.8,+0.7,139.2,-5.1,+5.4,24.1,-1.3,+2.4,80.9,-4.3,+5.6,
disc,3.0,4.0,3.53,3.16,3.87,0.7588,-0.0204,+0.0242,-3.9,-4.8,+4.3,0.6,-3.6,+3.6,-624.3,-4.8,+4.7,83.8,-2.9,+3.1,171.9,-3.7,+3.7,135.2,-2.7,+3.0,101.9,-3.6,+3.8,
-,3.0,4.0,3.53,3.16,3.87,0.0008,-0.0009,+0.0005,225.0,-233.8,+315.7,-432.2,-205.3,+84.8,-220.3,-16.5,+21.0,44.3,-31.0,+30.2,14.4,-3.6,+12.8,14.4,-3.5,+14.4,13.9,-3.1,+10.8,
bar,3.0,4.0,3.53,3.16,3.87,0.24,-0.0243,+0.0201,10.2,-7.7,+7.2,1.3,-2.9,+3.0,-298.9,-18.0,+21.1,76.7,-1.1,+1.1,177.2,-7.2,+7.3,48.9,-2.7,+3.0,141.6,-10.7,+12.7,
