APOGEE_ID, P_knot, s_knot, P_bar, s_bar, P_disc, s_disc, X, Y, Z, Lx, Ly, Lz
b'2M15385854-4026237' , 0.0 , 0.0 , 0.0073790968100881735 , 0.01581788486704557 , 0.9926209024436108 , 0.01581788461322453 , -2.075094636824269 , -3.0047303834216454 , 1.503670516923242 , -162.55270199253127 , -409.18536180788124 , -1041.9862007984664
b'2M15391219-3951249' , 0.0 , 0.0 , 0.8575182844434766 , 0.04838885984497532 , 0.14248171555643357 , 0.04838885984497429 , -0.41971981344316944 , -3.7364601125063297 , 1.958904872980784 , -38.341756654427925 , -179.73259102728395 , -351.0412688874275
b'2M15392579-4010060' , 0.0 , 0.0 , 0.054304156386169894 , 0.030712319277597766 , 0.9456958436137993 , 0.03071231927758633 , -3.0073330184783726 , -2.5275465607003444 , 1.297905791532873 , -154.99656680474914 , -143.2355526247744 , -638.0746791578649
b'2M15393002-4013132' , 0.0 , 0.0 , 3.198129210490548e-06 , 2.0327201716915775e-06 , 0.9999967342795393 , 2.0225014382146966e-06 , -2.8643210227507376 , -2.5983450384793474 , 1.326958348328952 , 253.03327967799055 , -671.4898930067515 , -768.6706148164866
b'2M15393986-4030327' , 0.0 , 0.0 , 0.9425811510047626 , 0.016113823832267227 , 0.05721418391147598 , 0.01611413908213441 , -1.0254696728981783 , -3.5014865075823143 , 1.731426239157858 , -45.628124173126366 , -32.07282022775771 , -91.88540710562448
b'2M15402429-4016500' , 0.0 , 0.0 , 0.0010668213052806338 , 0.00135818827442242 , 0.9989331786940387 , 0.0013581882743454177 , -1.4212744760546254 , -3.2730897364264186 , 1.6485943233319629 , 106.90891648794724 , -364.5217234527877 , -631.5473629476786
b'2M15403045-4040459' , 0.0 , 0.0 , 0.005879263744339996 , 0.006926755213952048 , 0.9941207362556317 , 0.006926755213955693 , -2.6918296623739533 , -2.6965948919652085 , 1.3150635248105396 , -207.45610534058522 , -131.1570599513839 , -693.5892743568012
b'2M15403652-4030592' , 0.0 , 0.0 , 0.08575072738841588 , 0.045277893487115306 , 0.9142492726114699 , 0.04527789348712963 , -1.1287103821585207 , -3.4301364366006353 , 1.6885878340756337 , -55.33764793820326 , -335.86663824462613 , -719.2569713724112
b'2M15411768-3936405' , 0.0 , 0.0 , 0.012761750508543446 , 0.019208708095493056 , 0.9872382494052572 , 0.019208708102193328 , -2.4260366317854745 , -2.7251717568178884 , 1.4560166530289773 , -161.33128027226516 , -437.1010266908683 , -1086.9181786589943
b'2M15412040-4012197' , 0.0 , 0.0 , 0.014786294312130379 , 0.01823169634380253 , 0.9852137056816517 , 0.018231696349925053 , -2.9458000230364094 , -2.5258015499251742 , 1.2824696990660773 , -134.17590039064993 , -336.8387430564827 , -971.5965926181455
b'2M15412853-3957158' , 0.0 , 0.0 , 0.008762613421021845 , 0.014606063086255928 , 0.991237386578042 , 0.01460606308590029 , -3.1432158410927826 , -2.413037287721184 , 1.253444214711392 , -170.73039257664382 , -242.09105747598534 , -894.1899528208135
b'2M15415897-4048401' , 0.0 , 0.0 , 0.15931574926742248 , 0.06855763339053042 , 0.8406842507325604 , 0.06855763339053467 , -2.931440186829966 , -2.5649194926184227 , 1.2289036194798013 , -140.86700642085654 , -85.31870091891258 , -514.0995540071465
b'2M15421175-3957160' , 0.0 , 0.0 , 0.06992285939011678 , 0.02874360909827317 , 0.9300771406097081 , 0.028743609098219047 , -0.9786228277394793 , -3.4086272164006135 , 1.7528772710543077 , 73.76158527788023 , -354.944519052593 , -649.0407489324226
b'2M15421192-3946307' , 0.0 , 0.0 , 0.00201147295599265 , 0.004616682752979389 , 0.9979885270430686 , 0.0046166827538900446 , -2.787358635779836 , -2.5532439512516456 , 1.341656035279726 , -215.63445970363125 , -229.82211732988665 , -885.3554660269967
b'2M15423485-4035023' , 0.0 , 0.0 , 0.0036971365927965846 , 0.0056573297293587375 , 0.9963028634071116 , 0.005657329729344296 , -2.3567313851115372 , -2.8097581691583167 , 1.3677118120618805 , -229.44312651825632 , -65.52700618968386 , -529.9733846802872
b'2M15423543-3959105' , 0.0 , 0.0 , 9.077477722457845e-07 , 5.711676785047447e-06 , 0.9999990922513358 , 5.711676955066913e-06 , -1.2150211556059736 , -3.2924379077331576 , 1.6864767092267807 , -381.2088977895061 , -141.56163253803507 , -551.0065782019321
b'2M15423653-4050247' , 0.0 , 0.0 , 0.10786197963289065 , 0.06139374016286572 , 0.8921380203612823 , 0.06139374016925725 , -0.5497162308990875 , -3.6900545918920153 , 1.744748044835627 , 168.40653243664394 , -233.6298202616778 , -441.05565217134324
b'2M15424201-3928360' , 0.0 , 0.0 , 0.09298043500692169 , 0.05157431893932918 , 0.9070195649929308 , 0.05157431893927045 , -2.3424427791474587 , -2.7257214134605134 , 1.4654310664293722 , 62.78308418391427 , -293.6195896310696 , -445.7796996629745
b'2M15424581-4038303' , 0.0 , 0.0 , 0.02182614846281438 , 0.02319599612265412 , 0.9781738515370373 , 0.023195996122636786 , -2.3987176201065967 , -2.7909870305352453 , 1.3504248210874044 , -173.25661308480892 , -233.263200724494 , -789.846455629305
b'2M15431753-4001392' , 0.0 , 0.0 , 0.012648742793322312 , 0.01359705809202048 , 0.987351257206589 , 0.013597058092037262 , -1.843729664428178 , -2.9890799845862803 , 1.5234899697557331 , -212.28982602349578 , -168.70388661042313 , -587.9096536674621
b'2M15432739-4015174' , 0.0 , 0.0 , 0.502073233759925 , 0.06164866322758755 , 0.4979267662400469 , 0.06164866322758139 , -0.6117542994734553 , -3.5788152055730458 , 1.7796401837790088 , -5.838883933160986 , -247.16205027375548 , -499.0442867078168
b'2M15433402-3940577' , 0.0 , 0.0 , 0.22029768650868975 , 0.059067266140393315 , 0.7797023134912657 , 0.05906726614036928 , -2.259746782799347 , -2.7631314653604453 , 1.4531284472008108 , -66.7273431688997 , -251.57071191606008 , -582.1301279584438
b'2M15433428-4001239' , 0.0 , 0.0 , 0.013409285048550636 , 0.01170649280685633 , 0.9865907149514246 , 0.011706492806846547 , -3.1257340697148006 , -2.390557204476679 , 1.22339678850518 , -184.354266306765 , -92.58482826170433 , -651.932183256019
b'2M15433699-3942141' , 0.0 , 0.0 , 0.03043762472713093 , 0.021168374358125186 , 0.9695623752723506 , 0.02116837435811547 , 0.25021706517672015 , -3.9123785635613975 , 2.040721083031165 , -15.743570737946811 , -390.59340340896995 , -746.8977319704669
b'2M15441323-3957562' , 0.0 , 0.0 , 0.10159757337693595 , 0.04226362827066246 , 0.8984024266225863 , 0.04226362827081853 , -0.39851045891580483 , -3.627800890317632 , 1.845336809616231 , 68.14760942593611 , -465.16079755325893 , -899.7561917943459
b'2M15442467-4020217' , 0.0 , 0.0 , 0.13464906106641264 , 0.054618115373466225 , 0.865350938933438 , 0.054618115373503695 , -2.4187183990628727 , -2.7262003731442053 , 1.3462880938255117 , 25.387661252586156 , -277.8740147744978 , -517.0770227986079
b'2M15443074-4028370' , 0.0 , 0.0 , 0.5790802435372654 , 0.10172771279663212 , 0.4209197564337001 , 0.1017277128110427 , -1.2471899763728755 , -3.280012743307538 , 1.592496762993417 , 125.90464269497517 , -207.1922632909853 , -328.14274270731505
b'2M15443083-3939290' , 0.0 , 0.0 , 5.569498370309435e-06 , 2.558136473399599e-05 , 0.9999944305008446 , 2.5581364301197063e-05 , -2.267942847087017 , -2.7388496073259403 , 1.4379966698972895 , -323.75518272963564 , 45.10747714358058 , -424.698935401908
b'2M15443407-4026378' , 0.0 , 0.0 , 0.03167403268023353 , 0.031780811431227254 , 0.9683259673195594 , 0.03178081143122602 , -1.6877949178181133 , -3.0709725739795095 , 1.4970985962210215 , -156.4523470608367 , -261.47085186784585 , -712.7314753514607
b'2M15443544-4044389' , 0.0 , 0.0 , 8.68390336653555e-05 , 0.00019794727862985207 , 0.9999131609455022 , 0.00019794728550048823 , -1.9831189468216328 , -2.958919623498857 , 1.4036079031767135 , 199.77330327396365 , -474.82996545395713 , -718.725990023332
b'2M15450162-4040180' , 0.0 , 0.0 , 0.004737260571798178 , 0.006903487856326532 , 0.9952627394280655 , 0.0069034878563679625 , -2.6266588178311743 , -2.643972699809016 , 1.2631376416977351 , -197.6587190808847 , -175.21342932489134 , -777.778690728817
b'2M15450932-4010070' , 0.0 , 0.0 , 0.00013382137520193414 , 0.000405393709709105 , 0.9998661786241458 , 0.0004053937097513449 , -0.09517764541994822 , -3.764713963271106 , 1.8704314452146797 , -340.0331024125526 , -280.8864642195213 , -582.6574113591552
b'2M15451872-3950547' , 0.0 , 0.0 , 0.010971480573096456 , 0.009510227103311389 , 0.9890285194265709 , 0.009510227103258662 , -1.6098536552421328 , -3.0375308429475845 , 1.5588463964260997 , 42.201457312428204 , -343.9328696927925 , -626.597034527435
b'2M15460033-4021051' , 0.0 , 0.0 , 0.00703025729088956 , 0.009360327271292612 , 0.9929697427090937 , 0.009360327271296098 , -2.9075943946057645 , -2.4728378401339626 , 1.2131548686940417 , -203.0045632460051 , -29.88491257807567 , -547.461408254165
b'2M15463316-3957300' , 0.0 , 0.0 , 0.004137819589837865 , 0.007137259747319231 , 0.9958621804098662 , 0.007137259747234115 , -2.069968564777465 , -2.8130317199415527 , 1.423171668798111 , -211.83261576199408 , -225.9499308708304 , -754.7165263535942
b'2M15503717-3527363' , 0.0 , 0.0 , 0.0011480992910846708 , 0.0028562674869742743 , 0.9988519007087152 , 0.0028562674870680205 , -3.3894726975850116 , -1.8574521877387287 , 1.384902724368651 , -230.92604879369912 , -183.00398077071065 , -810.6263799189712
b'2M15505752-3525394' , 0.0 , 0.0 , 0.009213435876675079 , 0.013862595658920514 , 0.990786564123054 , 0.01386259565891712 , -3.242755708855305 , -1.905277229434922 , 1.4226691993008163 , -199.2655405125284 , -256.9105960943043 , -798.2568107697124
b'2M15510490-3510272' , 0.0 , 0.0 , 0.3179192291449692 , 0.08922521828892349 , 0.6820807708550087 , 0.08922521828893337 , -2.955128663842001 , -1.993465352027745 , 1.518806787390997 , -127.16378298754613 , -181.7450298394906 , -485.9655396097091
b'2M15512598-3536372' , 0.0 , 0.0 , 1.0100757069268809e-07 , 6.67742908515667e-07 , 0.9999998989919424 , 6.677426714896129e-07 , -3.459451914272294 , -1.8281350504465934 , 1.3440010338985524 , -313.6130816834918 , 164.9183626517702 , -582.9134924638464
b'2M15512703-3534028' , 0.0 , 0.0 , 3.5236903517063497e-06 , 1.6989585051710907e-05 , 0.9999964763094447 , 1.6989585053250877e-05 , -3.008967250226033 , -1.994944009917796 , 1.4691764478730303 , -308.88877841484356 , -27.226413555967127 , -669.5937647733308
b'2M15513793-3519073' , 0.0 , 0.0 , 0.04127110852223309 , 0.02095557912334748 , 0.958190014083452 , 0.021475989334643564 , 1.2051730520372868 , -3.546779782712614 , 2.643252891276541 , 345.37286680225094 , -174.30243953235345 , -391.35356439019967
b'2M15515334-3553310' , 0.0 , 0.0 , 0.8041190387469186 , 0.12364748735937003 , 0.19588096125281185 , 0.12364748735917924 , -2.36562317303176 , -2.25498840027081 , 1.6098616997023667 , -146.21025349900788 , -42.55901913483284 , -274.4636128493162
b'2M15522251-3529355' , 0.0 , 0.0 , 0.0012607076323365185 , 0.003054258665930875 , 0.9987392923674414 , 0.0030542586660197157 , -3.3347171552802033 , -1.8526237371010146 , 1.3723265477003497 , -228.5053680241349 , -189.71885082867993 , -811.3800750341297
b'2M15523684-3537107' , 0.0 , 0.0 , 4.3599083291683304e-06 , 2.4653294931978187e-06 , 0.9999956112730677 , 2.465946930207963e-06 , -3.532316140372271 , -1.7833593565167514 , 1.3072523752843 , -388.9101375649882 , -107.77961068571639 , -1197.9043701433316
b'2M15524429-3604253' , 0.0 , 0.0 , 0.03437549486908735 , 0.02577060660235409 , 0.9656243214043787 , 0.0257707791515821 , 0.2268151402275791 , -3.2379447407379187 , 2.257657608411435 , 267.8420106430655 , -549.8968557551858 , -815.5737381893163
b'2M15524969-3603324' , 0.0 , 0.0 , 0.4549795190290996 , 0.10995719909705898 , 0.5450204809706602 , 0.109957199097099 , 1.293293016908203 , -3.6383170873753126 , 2.5357478770724575 , -40.197110559024864 , -320.74215508756316 , -439.70263415858125
b'2M15525215-3509134' , 0.0 , 0.0 , 0.0026140652350870233 , 0.008530866914957809 , 0.997385918979498 , 0.00853086109539003 , -3.218063178236167 , -1.8651415851475541 , 1.420396999764524 , -222.93988482444342 , -442.01471430520337 , -1085.5096564320504
b'2M15525426-3537171' , 0.0 , 0.0 , 0.00012341740641352085 , 0.0003044620091121819 , 0.9998765825935539 , 0.00030446200913070154 , -3.5004595140095605 , -1.7909895012409482 , 1.3116240555573848 , -251.23719739387641 , -38.102950613087955 , -722.5299188357051
b'2M15531016-3500495' , 0.0 , 0.0 , 0.3593363371124282 , 0.08150567268774844 , 0.6406636628875187 , 0.08150567268776177 , -3.02578983792563 , -1.9208369192364438 , 1.4785515855397355 , -95.86222032899434 , -239.03644806898856 , -506.7181787458726
b'2M15532383-3447137' , 0.0 , 0.0 , 0.005448495173484047 , 0.009527543040411847 , 0.9945515048143739 , 0.009527543038876707 , -2.023176724539649 , -2.2624504908348353 , 1.7693134723678743 , 60.21903504652663 , -483.7592753661123 , -549.7316756515166
b'2M15532836-3522094' , 0.0 , 0.0 , 0.9706700798066465 , 0.01077850530841351 , 0.02932992019327766 , 0.010778505308433328 , 1.3298703863093841 , -3.5437235699387895 , 2.619068450764062 , -38.776447050193994 , -160.4913898451112 , -197.46313701619158
b'2M15535676-3558597' , 0.0 , 0.0 , 0.00012760198417674973 , 0.0003848463363028562 , 0.9998723980157518 , 0.00038484633628177445 , -3.542661711956054 , -1.782718475240374 , 1.262272105156859 , -241.59374485170116 , 82.04920026704636 , -562.1721985619408
b'2M15540244-3533147' , 0.0 , 0.0 , 0.0003705082804475367 , 0.0007867465036621428 , 0.999629491719433 , 0.0007867465036535126 , -2.1738851884042054 , -2.2585895179127675 , 1.651341097585944 , -283.8409737609358 , -147.90416973693112 , -575.9515690216442
b'2M15541572-3533411' , 0.0 , 0.0 , 0.0006036369394744484 , 0.001369786964078628 , 0.9993963630604175 , 0.0013697869640456606 , -2.677970890659094 , -2.0693932394776557 , 1.5137505026545637 , -259.3056679011327 , -18.402000940708295 , -483.8934854040906
b'2M15542588-3442186' , 0.0 , 0.0 , 0.9935746143752604 , 0.003752539373269914 , 0.006425385624317156 , 0.003752539373354553 , -2.9244590283288634 , -1.914181250987996 , 1.5092350862019708 , 32.55272362729029 , -152.0606507774176 , -129.78265746230494
b'2M15544681-3509305' , 0.0 , 0.0 , 2.7989556382401778e-08 , 1.7644272349364407e-07 , 0.9999999712816119 , 1.7785042205620272e-07 , -2.60752790814054 , -2.0553565758046317 , 1.5552359783646015 , -360.9061774891678 , 220.16732477751464 , -314.13276059770794
b'2M15544859-3500054' , 0.0 , 0.0 , 0.00037883407636460625 , 0.0008951208397378059 , 0.9996211659235594 , 0.0008951208397411925 , -3.613606730250929 , -1.681807184656125 , 1.2953434335743135 , -234.8109025085306 , -59.2918178857998 , -732.031087953465
b'2M15545081-3543037' , 0.0 , 0.0 , 0.712000216127414 , 0.06324245470692402 , 0.286241049279806 , 0.06270732451113814 , -0.14592632155173746 , -3.0035727789495965 , 2.1506817531138918 , 92.39326977386546 , -157.89320138560714 , -214.23955961948346
b'2M15545214-3454070' , 0.0 , 0.0 , 0.12011209082579809 , 0.05947778995021204 , 0.8798879091741887 , 0.05947778995021924 , -2.931180315503741 , -1.9185554071665936 , 1.48598998451133 , -166.3187585184026 , -141.58382780863073 , -510.86931768749486
b'2M15550593-3531438' , 0.0 , 0.0 , 0.022156606859392993 , 0.026086082631437222 , 0.9778433931391568 , 0.026086082632507 , -3.009172297484189 , -1.9313285289465174 , 1.4158544027308688 , 1.5489545588555274 , -414.5863715810136 , -562.233951784079
b'2M15552767-3600212' , 0.0 , 0.0 , 0.10911041282629824 , 0.07158687030358807 , 0.8908895871735505 , 0.07158687030349142 , -2.019106081874539 , -2.3258616157121765 , 1.6275689950081456 , -179.03016437359676 , -194.75204766430636 , -500.40717688002525
b'2M15555877-3517475' , 0.0 , 0.0 , 0.06662939628849271 , 0.06450993078149453 , 0.9333706037104853 , 0.06450993078161982 , -3.3808791786349444 , -1.7668284628975417 , 1.3215198517668612 , 22.815208662281123 , -378.67317175206074 , -447.904791799629
b'2M15560394-2113205' , 0.0 , 0.0 , 1.4866798037683158e-06 , 1.028760626943685e-05 , 0.9999985133169422 , 1.028760669141704e-05 , -3.872098043070247 , -0.7483139450796795 , 2.04635841541551 , -362.3753288804786 , -228.00501929533604 , -769.0598701803406
b'2M15561660-3541122' , 0.0 , 0.0 , 0.020647035870322163 , 0.02412453725730585 , 0.9793529641294725 , 0.0241245372572908 , -2.1824780333497795 , -2.22366645534473 , 1.59831554316299 , -225.56727354848456 , -45.25254439119843 , -370.9669139364746
b'2M15561853-2246470' , 0.0 , 0.0 , 4.737897228641392e-07 , 2.995294303275712e-06 , 0.999999526209568 , 2.9952953219947176e-06 , -3.8573161695508142 , -0.8426431866424074 , 1.9522370022113487 , -357.85650537277263 , -147.68786843192152 , -770.8151515070668
b'2M15562813-3521108' , 0.0 , 0.0 , 2.243896591145736e-06 , 1.1469727938078422e-05 , 0.9999977561023661 , 1.1469727956403553e-05 , -2.9108300714072337 , -1.9315574172614642 , 1.4331058101845537 , -322.98069010204506 , -107.59186287270637 , -801.0307109520509
b'2M15563490-3511119' , 0.0 , 0.0 , 8.789189411083367e-05 , 0.0001579683901430432 , 0.999854488462292 , 0.00014946245561919813 , 0.9501963709663706 , -3.29151622837643 , 2.456255490853172 , 521.8843359725321 , -411.93225014866226 , -753.9013328853781
b'2M15563667-3506159' , 0.0 , 0.0 , 0.47547361326046633 , 0.09693935692910094 , 0.5245263803122744 , 0.09693935366924383 , 0.3847919036742766 , -3.0799491258780916 , 2.3169270783906755 , 113.97121712898627 , -256.38357281532893 , -359.74527224402686
b'2M15565184-2540328' , 0.0 , 0.0 , 0.9765521683913305 , 0.022109550231549258 , 0.01913776127052157 , 0.01948457721566566 , -3.5320884038981886 , -1.083876011005874 , 1.8928584392067669 , 101.03598245154987 , -310.1301290142716 , 10.949268278899776
b'2M15572718-3507353' , 0.0 , 0.0 , 8.286200692515078e-05 , 0.00017204571222724686 , 0.9999171358835498 , 0.00017204630100553508 , 0.8925116851122681 , -3.2387922451852043 , 2.42526171254888 , 485.2413921204313 , -329.4252156602896 , -618.4996195071078
b'2M15573133-3656172' , 0.0 , 0.0 , 0.070027517909521 , 0.0467926362656985 , 0.9299724820904165 , 0.046792636265740484 , -2.7041802120952543 , -2.106849354125594 , 1.349219583812429 , -132.93147431117626 , -265.95121472647367 , -681.7198759992136
b'2M15573682-2022364' , 0.0 , 0.0 , 0.015362603980031822 , 0.022457872723810952 , 0.9846373960197721 , 0.02245787272371802 , -3.9390021594378934 , -0.6638497353354625 , 2.0424421292319628 , -205.18766516095113 , 50.62886103003298 , -379.2639649746999
b'2M15574004-3659255' , 0.0 , 0.0 , 0.3122582160296858 , 0.08510666751790347 , 0.6877417838761265 , 0.08510666759633179 , 1.3002425513112499 , -3.617045896280313 , 2.2824949500930267 , 12.862156056684881 , -394.62433665265195 , -632.6840986042341
b'2M15575098-2128586' , 0.0 , 0.0 , 3.7162023434959266e-06 , 3.0855809967480505e-05 , 0.9999962836588727 , 3.0855851459898886e-05 , -3.2790542735660795 , -0.8376047128020654 , 2.264801746754444 , -396.6007899727462 , -424.2313402314793 , -731.1075627387213
b'2M15575215-3538164' , 0.0 , 0.0 , 0.0007871654360918715 , 0.0020103903486590616 , 0.999212834550447 , 0.0020103903502352027 , -3.553035194173259 , -1.6990458545695417 , 1.228249392368858 , 73.14116077333387 , -497.5277864935517 , -476.6535269157061
b'2M15575649-2420388' , 0.0 , 0.0 , 1.1123315042434523e-08 , 1.1598149581489786e-07 , 0.9999999888757144 , 1.159812660356252e-07 , -3.5386511672217456 , -0.97984935451863 , 1.959339922110818 , -388.82260375939165 , -62.37069908913898 , -733.421206633007
b'2M15580492-3657105' , 0.0 , 0.0 , 0.30394511144009095 , 0.08614932319437224 , 0.6960548885598739 , 0.08614932319437774 , -2.9084723434519875 , -2.0217936531922067 , 1.2914547326755712 , -41.00456962768531 , -268.3271357029063 , -512.4165330128506
b'2M15583025-2346121' , 0.0 , 0.0 , 5.5486086095893115e-08 , 5.33040264178948e-07 , 0.9999999445133216 , 5.330402019776415e-07 , -2.9944652363644932 , -1.0407324058145682 , 2.2110724268906194 , -391.48972236519757 , -81.08031096593643 , -568.3600662867436
b'2M15584653-3622045' , 0.0 , 0.0 , 0.06122985136867963 , 0.043817892868922084 , 0.9387701486306883 , 0.043817892869203456 , -2.9650109387369543 , -1.9471872109810497 , 1.3100564720337469 , 6.154666014923166 , -364.01179322618276 , -527.1150298473493
b'2M15584791-3645350' , 0.0 , 0.0 , 0.007745547199091148 , 0.010258196822673777 , 0.9922544528002577 , 0.010258196822930055 , -3.3756559923832308 , -1.823009023463803 , 1.1850872023437717 , 16.915561092698795 , -420.3447330235333 , -598.4294866214984
b'2M15584873-2552234' , 0.0 , 0.0 , 0.26802910801487656 , 0.1941750532110212 , 0.7319708919742056 , 0.1941750532106451 , -3.590651744481172 , -1.0538884633314374 , 1.8257140432425962 , -65.18129123618775 , -463.67466734072025 , -395.8476971840593
b'2M15585378-2230375' , 0.0 , 0.0 , 0.017493195325129714 , 0.043934022948029644 , 0.9825068046720191 , 0.043934022948470486 , -2.9214650001920184 , -0.9554107529281419 , 2.326702496848434 , -272.0246138784896 , -388.0330928154662 , -500.89832266189154
b'2M15590775-3651581' , 0.0 , 0.0 , 0.032385846305817 , 0.029333851370472605 , 0.9676141536941458 , 0.02933385137048594 , -2.5105972756778145 , -2.1457662113620817 , 1.374247250987578 , -180.87600958957265 , -198.56591942010948 , -640.4836225055167
b'2M15591334-2255083' , 0.0 , 0.0 , 0.002012128025377229 , 0.0032298703743194775 , 0.9979878719745461 , 0.003229870374328536 , -3.628658702276149 , -0.8511575070418246 , 1.9929430400258654 , -266.0308222492944 , -190.06125290542508 , -565.5490888601515
b'2M15591920-3639218' , 0.0 , 0.0 , 0.0005165793032281226 , 0.0011251434253155403 , 0.9994834206857205 , 0.0011251434229098134 , -2.7163734906682873 , -2.0504171312212107 , 1.339317743056563 , 20.206932858362535 , -500.0762062772732 , -724.604186388261
b'2M15592150-3617564' , 0.0 , 0.0 , 0.0019064307504292023 , 0.004306357999370204 , 0.9980935692484476 , 0.004306358000011223 , -3.3471864788321763 , -1.7943104840865234 , 1.2147398327203973 , -212.51306865407417 , -218.91638659641575 , -908.9393529721192
b'2M15592525-3715347' , 0.0 , 0.0 , 0.7791620508304908 , 0.07434254128542084 , 0.22083794916939173 , 0.07434254128533432 , 0.17532813212729437 , -3.178897278670599 , 1.9458107694739295 , -22.320033781724106 , -224.37630753228237 , -364.5554412119653
b'2M15592713-3712338' , 0.0 , 0.0 , 8.465863994116072e-09 , 7.244647342414854e-08 , 0.9999999915333295 , 7.244625699343032e-08 , -2.703702108096448 , -2.0947026763346863 , 1.2983314089117872 , -359.55748259354357 , 124.46845339859378 , -547.9432418668981
b'2M15593134-2225297' , 0.0 , 0.0 , 0.021651823625248937 , 0.041309672954298673 , 0.9783481763726405 , 0.041309672954328525 , -3.705223006810175 , -0.8015901341052672 , 1.9870010857836926 , -235.49232117851807 , -388.60617040084543 , -595.9002474004797
b'2M15593265-2126405' , 0.0 , 0.0 , 0.3555576128498859 , 0.12730739331091284 , 0.6444423871499441 , 0.12730739331097185 , -3.742214348178954 , -0.7331055906939443 , 2.032540922165508 , -162.38371631154243 , -28.976918286473087 , -309.4244288171619
b'2M15593662-3648215' , 0.0 , 0.0 , 0.8645751374062172 , 0.08406193989284305 , 0.13542486259347253 , 0.08406193989285224 , -3.0061851103692367 , -1.9500600438108524 , 1.256288151233648 , -119.44712508574537 , 12.400048010843207 , -266.57843617567676
b'2M15593893-2216017' , 0.0 , 0.0 , 5.626195422027828e-07 , 4.179433730296571e-06 , 0.9999994373802791 , 4.179433665485455e-06 , -3.5523614863731456 , -0.8160170952277855 , 2.0602330911062867 , -326.97266986406936 , 49.495879855921885 , -544.1790253033604
b'2M15594389-3727444' , 0.0 , 0.0 , 0.7308153078598009 , 0.17940276669759225 , 0.2691846878626653 , 0.17940276462253169 , -1.8950793104026635 , -2.4139128335855355 , 1.4546718049498306 , 266.19807273150803 , -246.25008132513378 , -61.8419709336296
b'2M15594799-3654152' , 0.0 , 0.0 , 0.8599085219932656 , 0.05500788481916674 , 0.1400914780066331 , 0.05500788481910912 , -2.6065899571327513 , -2.101558843299521 , 1.3382512762951655 , 0.9134894075560425 , -206.00730970961817 , -321.7298565788516
b'2M15595119-4426305' , 0.0 , 0.0 , 0.028548073293586183 , 0.016248543923966845 , 0.9714519267063777 , 0.016248543923962244 , -2.1244245590673945 , -2.9196798768280816 , 0.8085322281031229 , -133.82965095633568 , -120.40843975116998 , -786.4437231606726
