APOGEE_ID, P_knot, s_knot, P_bar, s_bar, P_disc, s_disc, X, Y, Z
b'2M15550513-3542193' , 0.0 , 0.0 , 0.031456080123428834 , 0.03099156016455936 , 0.9680125072155459 , 0.012847783239237964 , -1.2786829445274748 , -2.579931611469994 , 1.8524161151253118
b'2M15553064-3529031' , 0.0 , 0.0 , 0.6422692680373034 , 0.08164815354700983 , 0.19977154366520283 , 0.04145748162582291 , -1.1945731022912716 , -2.5803469250468525 , 1.8870104974712902
b'2M15554254-3554597' , 0.0 , 0.0 , 0.0001654522684144548 , 0.0001291238687967323 , 0.9998345469416544 , 6.86301584000848e-05 , -1.174809014315091 , -2.6244833341980662 , 1.8459498715633906
b'2M15560765-3459282' , 0.0 , 0.0 , 8.530957347811199e-06 , 6.571289050198253e-06 , 0.99999072996741 , 3.147376878009922e-06 , -1.6055457731596858 , -2.3739861232874686 , 1.812619065077669
b'2M15575133-3709064' , 0.0 , 0.0 , 0.0017950268774597814 , 0.001817988775983321 , 0.9982049731114115 , 0.000551033504020193 , -0.8823252939886697 , -2.8066319513629434 , 1.7501782277974398
b'2M15580105-3639556' , 0.0 , 0.0 , 4.361786959001855e-06 , 5.826193156660611e-06 , 0.999995595945774 , 2.2337482517009732e-06 , -1.5326384269195188 , -2.5127966917310514 , 1.6410254762787404
b'2M15590400-3728443' , 0.0 , 0.0 , 0.2983950324521948 , 0.04218254459193954 , 0.7016049633610659 , 0.04504949936786762 , -0.8984289616890964 , -2.806067378539402 , 1.6884294624536342
b'2M15593784-3653420' , 0.0 , 0.0 , 2.0736343442036535e-05 , 2.914468098153479e-05 , 0.999975856359486 , 1.1103630743525272e-05 , -1.2814428254430608 , -2.5934151596691075 , 1.6469752648305296
b'2M16000490-3634071' , 0.0 , 0.0 , 0.0010271341710533094 , 0.001418242016898305 , 0.9989728655902823 , 0.00046118034017994525 , -1.1490144322770446 , -2.601035783949772 , 1.6998354472314847
b'2M16004975-3712519' , 0.0 , 0.0 , 0.08368488206634693 , 0.03189658066369391 , 0.9163150777120161 , 0.01989464448316358 , -1.0941738811437132 , -2.6677552251985053 , 1.6347966111737
b'2M16013080-3716532' , 0.0 , 0.0 , 0.16387667404344985 , 0.07500010018968228 , 0.835800743525742 , 0.032813159109906564 , -0.2845161506900471 , -2.9583682814143 , 1.792528576498292
b'2M16013267-3737097' , 0.0 , 0.0 , 0.34191827070523195 , 0.04250045629705285 , 0.6580817292857786 , 0.04639845640369267 , -0.9405182981346165 , -2.749334444816815 , 1.6142337423664468
b'2M16014490-3703077' , 0.0 , 0.0 , 0.7119322148768049 , 0.042251865775988606 , 0.2880677851221486 , 0.047161480437844794 , -0.3635184329357468 , -2.89894588301622 , 1.794338874194139
b'2M16023490-3709330' , 0.0 , 0.0 , 0.0003994875253785313 , 0.0005109744488832743 , 0.999600466337877 , 0.00015429763575702804 , -1.0967908171477836 , -2.623671110833117 , 1.6041564662552497
b'2M16024679-3627083' , 0.0 , 0.0 , 0.004802272431834403 , 0.0042072168048111775 , 0.995040961972546 , 0.001447967501571279 , -0.2546821379515247 , -2.848501866277213 , 1.8595779776820047
b'2M16025856-3730460' , 0.0 , 0.0 , 0.17987306872194567 , 0.04808117113736618 , 0.820126931273012 , 0.03955096421727555 , -1.6722778240008136 , -2.438150685546912 , 1.43976653469137
b'2M16031567-3632527' , 0.0 , 0.0 , 0.22955289299094767 , 0.08401034070426333 , 0.7670374293691462 , 0.04083892466193739 , -0.053835983988994585 , -2.918490830999697 , 1.8834834367794968
b'2M16031926-3645460' , 0.0 , 0.0 , 0.0002503407050937985 , 0.00014378749914755324 , 0.9997496591653359 , 0.00010154581450805278 , -1.26455252934249 , -2.5092439773029467 , 1.5900500120149086
b'2M16033890-3622556' , 0.0 , 0.0 , 0.07985083202545765 , 0.0240476967842366 , 0.9201491648099999 , 0.01663914790786858 , -1.912312867532612 , -2.2390208214902843 , 1.4728137435731374
b'2M16035088-3630336' , 0.0 , 0.0 , 0.006853185018050652 , 0.00277995048313836 , 0.9931468149489646 , 0.002184713294661189 , -1.3712709193581354 , -2.436522663682163 , 1.5793903079698506
b'2M16041293-3702481' , 0.0 , 0.0 , 0.00027484073180852154 , 0.00015254874544551778 , 0.9997251589483316 , 0.00011219908281656643 , -0.6379061896672988 , -2.742017394326018 , 1.6807854920839485
