APOGEE_ID, P_knot, s_knot, P_bar, s_bar, P_disc, s_disc, X, Y, Z, Lx, Ly, Lz
b'2M15451872-3950547' , 0.0 , 0.0 , 0.003762158447607425 , 0.002241401485191966 , 0.9962378415514204 , 0.002241401485054584 , -1.6098536552421328 , -3.0375308429475845 , 1.5588463964260997 , 42.201457312428204 , -343.9328696927925 , -626.597034527435
b'2M15463316-3957300' , 0.0 , 0.0 , 0.003912721210593084 , 0.0024288666721438345 , 0.9960872787872723 , 0.002428866671917551 , -2.069968564777465 , -2.8130317199415527 , 1.423171668798111 , -211.83261576199408 , -225.9499308708304 , -754.7165263535942
b'2M15511471-3550084' , 0.0 , 0.0 , 0.04666803158101977 , 0.016720810316272983 , 0.9533319684185638 , 0.016720810316347312 , -1.2302604246120312 , -2.6955441549192924 , 1.9308171229956792 , -212.26554795212718 , -234.3324211450354 , -462.39246619819494
b'2M15515334-3553310' , 0.0 , 0.0 , 0.8112767110326806 , 0.03755200207033926 , 0.18872328896716373 , 0.0375520020703089 , -2.36562317303176 , -2.25498840027081 , 1.6098616997023667 , -146.21025349900788 , -42.55901913483284 , -274.4636128493162
b'2M15522894-3542285' , 0.0 , 0.0 , 0.6152261514598993 , 0.0420534275088853 , 0.38477384847276724 , 0.04205342744492935 , -1.1507242074486772 , -2.685611926821876 , 1.9392675638976684 , -20.226711671155307 , -216.72120676358537 , -312.1304330074066
b'2M15524429-3604253' , 0.0 , 0.0 , 0.05103691430774747 , 0.021201727367728768 , 0.9489630795820774 , 0.021201721267526286 , 0.2268151402275791 , -3.2379447407379187 , 2.257657608411435 , 267.8420106430655 , -549.8968557551858 , -815.5737381893163
b'2M15532383-3447137' , 0.0 , 0.0 , 0.0008727889132106397 , 0.000700687709689674 , 0.9991272110635734 , 0.0007006876983601806 , -2.023176724539649 , -2.2624504908348353 , 1.7693134723678743 , 60.21903504652663 , -483.7592753661123 , -549.7316756515166
b'2M15540244-3533147' , 0.0 , 0.0 , 0.0008918963052861167 , 0.0006069685947312275 , 0.999108103694218 , 0.0006069685944629644 , -2.1738851884042054 , -2.2585895179127675 , 1.651341097585944 , -283.8409737609358 , -147.90416973693112 , -575.9515690216442
b'2M15541572-3533411' , 0.0 , 0.0 , 0.0020544581934457806 , 0.0010145913951034027 , 0.9979455418064618 , 0.0010145913951368213 , -2.677970890659094 , -2.0693932394776557 , 1.5137505026545637 , -259.3056679011327 , -18.402000940708295 , -483.8934854040906
b'2M15542588-3442186' , 0.0 , 0.0 , 0.994383677125479 , 0.0022368640086142255 , 0.005616322874304669 , 0.0022368640086476085 , -2.9244590283288634 , -1.914181250987996 , 1.5092350862019708 , 32.55272362729029 , -152.0606507774176 , -129.78265746230494
b'2M15544681-3509305' , 0.0 , 0.0 , 3.931871897411355e-07 , 6.190863148526452e-07 , 0.9999996068082468 , 6.19083597830361e-07 , -2.60752790814054 , -2.0553565758046317 , 1.5552359783646015 , -360.9061774891678 , 220.16732477751464 , -314.13276059770794
b'2M15545081-3543037' , 0.0 , 0.0 , 0.8582433523941119 , 0.025883807063365905 , 0.14175664760586365 , 0.025883807063386777 , -0.14592632155173746 , -3.0035727789495965 , 2.1506817531138918 , 92.39326977386546 , -157.89320138560714 , -214.23955961948346
b'2M15550513-3542193' , 0.0 , 0.0 , 0.3978560881424195 , 0.11073696328753474 , 0.6021439118527138 , 0.11073696328595461 , -1.2375532801249056 , -2.595044405910552 , 1.863091514430705 , 176.62071528362986 , -281.5483399301481 , -274.8404439748282
b'2M15552767-3600212' , 0.0 , 0.0 , 0.0645950220613441 , 0.019698299216792253 , 0.9354049779384694 , 0.019698299216753257 , -2.019106081874539 , -2.3258616157121765 , 1.6275689950081456 , -179.03016437359676 , -194.75204766430636 , -500.40717688002525
b'2M15553064-3529031' , 0.0 , 0.0 , 0.998405662913374 , 0.0014332766696254495 , 0.001518616158833191 , 0.0013615915983667959 , -1.0524499595183165 , -2.631959167310642 , 1.924154524404858 , 110.85619020176745 , 297.6618669961648 , 467.79219707833226
