l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-34.500576  11.325585  6.1887  0.6148 -6.4575  0.0202  0.0853  0.0206 -0.1613  -86.2668    0.0872  1.0000 -99.0000 -0.2841  0.2353 -99.0000 31.0000 2M15015827-4544559  
-34.347791  11.449121  7.5865  0.6309 -4.4279  0.0458  0.6208  0.0506 -0.2563 -106.6668    2.1173  1.0000 -99.0000 -0.3484  0.2593 -99.0000 32.0000 2M15022230-4534040  
-33.825008  12.314630  7.2311  0.7650 -4.0549  0.0203 -1.2282  0.0224 -0.2074  -62.8965    0.2187  1.0000 -99.0000 -0.4129  0.3358 -99.0000 35.0000 2M15022895-4433453  
-34.286187  11.497592  5.4786  0.4495 -6.6816  0.0358  2.0945  0.0394 -0.3476 -128.1240    0.6060  1.0000 -99.0000 -0.3473  0.2867 -99.0000 36.0000 2M15023215-4529452  
-34.149804  11.720692  6.0443  0.5063 -3.1075  0.0197 -0.2033  0.0209 -0.2056 -108.8918    0.3040  1.0000 -99.0000 -0.3216  0.2895 -99.0000 38.0000 2M15023440-4514094  
-33.872141  12.200226  5.6609  0.4692 -5.0916  0.0286  3.0011  0.0322 -0.0010  -56.6140    0.3351  1.0000 -99.0000 -0.4503  0.3523 -99.0000 39.0000 2M15023446-4441053  
-33.843385  12.239467  7.3199  1.0002 -6.4576  0.0159  0.1844  0.0183 -0.0202  -73.2095    0.2172  1.0000 -99.0000 -0.5030  0.3097 -99.0000 40.0000 2M15023618-4438125  
-34.111323  11.667248  6.1416  0.6282 -9.9241  0.0290 -1.0883  0.0264 -0.1633  -21.0746    0.4576  1.0000 -99.0000 -0.4484  0.2314 -99.0000 42.0000 2M15025455-4515500  
-33.498752  12.547977  5.3766  0.4410 -1.2090  0.0289 -0.5589  0.0401 -0.1783  -29.1560    0.5639  1.0000 -99.0000 -0.2252  0.2663 -99.0000 44.0000 2M15032317-4412078  
-34.119370  11.477320  6.5927  0.6440 -8.9304  0.0247  3.3666  0.0209 -0.0995  -74.4055    0.4235  1.0000 -99.0000 -0.3541  0.3160 -99.0000 45.0000 2M15032424-4525585  
-34.279460  11.199736  5.7141  0.5887 -2.9787  0.0177  1.3982  0.0229 -0.2835 -108.1100    0.2689  1.0000 -99.0000 -0.4461  0.3078 -99.0000 46.0000 2M15032450-4545065  
-33.717645  12.087828  7.7308  0.7390 -5.1835  0.0278  1.5706  0.0475  0.0592  -92.9105    0.3981  1.0000 -99.0000 -0.5479  0.3656 -99.0000 47.0000 2M15033755-4442280  
-33.905766  11.732655  5.9690  0.6048 -6.2987  0.0193 -0.4331  0.0234 -0.0863  -95.8167    0.2139  1.0000 -99.0000 -0.2332  0.2880 -99.0000 49.0000 2M15034311-4506269  
-34.003485  11.550872  6.2748  0.5353 -8.7016  0.0366 -0.9473  0.0298 -0.1197  -44.0801    0.2549  1.0000 -99.0000 -0.3230  0.2900 -99.0000 50.0000 2M15034551-4518461  
-34.147128  11.292302  6.5010  0.7989 -5.4025  0.0187 -1.0417  0.0203 -0.2676    2.0525    0.2885  1.0000 -99.0000 -0.2332  0.3097 -99.0000 51.0000 2M15034751-4536258  
-34.010938  11.461364  6.0882  0.4325 -6.4941  0.0308  0.9539  0.0289 -0.2029 -110.0949    0.2543  1.0000 -99.0000  0.0065  0.0451 -99.0000 52.0000 2M15035850-4523389  
-33.947919  11.564694  8.0581  0.7150 -4.7618  0.0332 -1.7243  0.0327 -0.1126   29.2533    0.2680  1.0000 -99.0000 -0.4064  0.3444 -99.0000 53.0000 2M15035929-4516256  
-33.750779  11.889756  8.0717  0.9494 -7.4982  0.0202 -1.3583  0.0220 -0.1465   10.1070    0.3582  1.0000 -99.0000 -0.5417  0.3483 -99.0000 54.0000 2M15040132-4453448  
-33.915757  11.562913  6.7718  0.6715 -4.3175  0.0246  0.8601  0.0274 -0.0874  -65.0726    0.2423  1.0000 -99.0000 -0.4579  0.2703 -99.0000 55.0000 2M15040892-4515348  
-34.013832  11.335855  6.0062  0.5948 -8.4083  0.0224  1.4614  0.0227 -0.2154 -120.9354    0.2599  1.0000 -99.0000 -0.2996  0.3096 -99.0000 56.0000 2M15041899-4530161  
-34.067821  11.241993  6.6935  0.7101 -8.7479  0.0195  1.4572  0.0203 -0.2248  -14.8289    0.3819  1.0000 -99.0000 -0.4685  0.3460 -99.0000 57.0000 2M15041925-4536440  
-33.755010  11.761267  6.0247  0.5498 -3.5986  0.0272  0.0092  0.0313 -0.0374   23.3745    0.3450  1.0000 -99.0000 -0.2052  0.1966 -99.0000 59.0000 2M15042179-4500334  
-33.445564  12.286409  6.0809  0.8176 -2.8137  0.0175 -0.1356  0.0195 -0.2290 -110.7390    0.3245  1.0000 -99.0000 -0.3731  0.3142 -99.0000 60.0000 2M15042194-4424114  
-34.084991  11.175621  6.4129  0.6612 -2.8563  0.0214  1.7637  0.0207 -0.1209  -97.7857    0.1745  1.0000 -99.0000  0.0795  0.0963 -99.0000 61.0000 2M15042556-4540415  
-34.091643  11.159747  5.8945  0.5578 -2.9604  0.0379 -1.7777  0.0287 -0.1954  -74.7008    0.3400  1.0000 -99.0000 -0.3178  0.2491 -99.0000 62.0000 2M15042633-4541427  
-34.026473  11.265978  6.0996  0.6883 -8.0767  0.0243  0.7922  0.0249 -0.2258   30.7790    0.1346  1.0000 -99.0000 -0.0599  0.0638 -99.0000 63.0000 2M15042722-4534165  
-34.055943  11.190086  6.4311  0.4974 -6.8406  0.0317  0.0235  0.0303 -0.1289 -143.3818    0.3125  1.0000 -99.0000 -0.2147  0.2474 -99.0000 64.0000 2M15043158-4539053  
-33.917296  11.351016  6.9559  0.8327 -5.5510  0.0187  1.5606  0.0219 -0.0954  -87.5543    0.2446  1.0000 -99.0000 -0.3356  0.3128 -99.0000 65.0000 2M15044450-4526391  
