l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-34.650416  12.043766  7.5295  0.9717 -5.9809  0.0245 -1.2628  0.0480 -0.0606  -55.5311    0.3258  1.0000 -99.0000 -0.5185  0.3195 -99.0000  0.0000 2M14591503-4511322  
-34.443907  12.341778  5.7051  0.8492 -5.9130  0.0295  1.8106  0.0348 -0.2006  -35.0547    0.4055  1.0000 -99.0000 -0.3371  0.3476 -99.0000  1.0000 2M14592629-4450019  
-34.480057  11.992290  7.6926  0.9925 -5.4622  0.0283  0.1216  0.0289 -0.1772  -37.6691    0.5078  1.0000 -99.0000 -0.4311  0.3023 -99.0000  2.0000 2M15001317-4509245  
-34.721603  11.560832  7.0775  1.1147 -6.3598  0.0262 -2.1405  0.0372  0.0666   -3.9582    0.2505  1.0000 -99.0000 -0.7929  0.3714 -99.0000  3.0000 2M15001390-4538557  
-34.367395  12.185109  6.8710  0.9804 -4.2376  0.0209 -0.4150  0.0260 -0.1550   -9.3465    0.2152  1.0000 -99.0000 -0.3486  0.2946 -99.0000  4.0000 2M15001413-4456051  
-34.173736  12.521787  5.6367  0.4331 -5.6572  0.0252 -1.4306  0.0246 -0.1907    4.0243    0.2280  1.0000 -99.0000 -0.5017  0.2907 -99.0000  5.0000 2M15001478-4432549  
-34.260854  12.364146  5.9977  0.6206 -5.8836  0.0236  0.7895  0.0222 -0.2813  -39.8954    0.6561  1.0000 -99.0000 -0.2445  0.3096 -99.0000  6.0000 2M15001552-4443397  
-34.524731  11.857516  6.1706  0.6974 -3.9020  0.0301  0.8382  0.0343 -0.1525  -25.0558    0.3973  1.0000 -99.0000 -0.3812  0.3202 -99.0000  7.0000 2M15002241-4517451  
-34.601114  11.630765  5.7664  0.7454 -9.6622  0.0341 -1.1422  0.0360 -0.0854  -41.2298    0.2800  1.0000 -99.0000  0.3266  0.0893 -99.0000  8.0000 2M15003768-4531495  
-34.353394  11.848491  6.0867  0.6639 -6.8788  0.0179  1.0463  0.0210 -0.3013 -145.6315    0.2765  1.0000 -99.0000 -0.5139  0.3382 -99.0000  9.0000 2M15011387-4513199  
-33.855454  12.703859  6.1517  0.6475 -6.8515  0.0210 -2.5000  0.0189 -0.1487   15.4430    0.2662  1.0000 -99.0000 -0.5109  0.3244 -99.0000 10.0000 2M15011603-4414172  
-34.484883  11.596428  5.8796  1.0787 -4.5058  0.0337  0.2686  0.0336 -0.1759 -124.0337    0.4278  1.0000 -99.0000  0.0049  0.1357 -99.0000 11.0000 2M15011746-4530181  
-33.875601  12.659197  6.2823  0.6661 -9.0144  0.0177 -2.4174  0.0172 -0.0970  -18.5005    0.2415  1.0000 -99.0000 -0.4733  0.3349 -99.0000 12.0000 2M15011762-4417120  
-34.101353  12.256095  6.4044  0.6947 -5.7924  0.0294  0.7324  0.0299 -0.1555   21.4442    0.3782  1.0000 -99.0000 -0.6205  0.3623 -99.0000 13.0000 2M15011930-4444460  
-34.433864  11.627706  5.7570  0.5092 -8.8126  0.0282 -0.0250  0.0272 -0.1613    5.7221    0.3204  1.0000 -99.0000 -0.5307  0.2724 -99.0000 14.0000 2M15012717-4527119  
-34.041736  12.289299  7.2544  0.8070 -5.5061  0.0193  0.4005  0.0186 -0.2456   97.4615    0.3288  1.0000 -99.0000 -0.5722  0.3114 -99.0000 15.0000 2M15013096-4441192  
-34.443961  11.559472  5.6080  0.4851 -6.9702  0.0191 -0.5909  0.0189 -0.2034   -0.5852    1.3329  1.0000 -99.0000 -0.4779  0.3189 -99.0000 16.0000 2M15013563-4531038  
-34.241349  11.840152  6.7416  1.1323 -8.4746  0.0270  0.6517  0.0285 -0.2743  -49.7778    0.4994  1.0000 -99.0000 -0.2017  0.2654 -99.0000 17.0000 2M15014784-4510331  
-34.392587  11.553663  5.9286  0.5983 -4.2300  0.0312  1.2936  0.0292 -0.2087  -95.1520    0.3053  1.0000 -99.0000 -0.5169  0.3122 -99.0000 19.0000 2M15015164-4529535  
-34.500595  11.325569  5.5872  0.4105 -6.4575  0.0202  0.0853  0.0206 -0.1613  -86.2668    0.0872  1.0000 -99.0000 -0.2841  0.2353 -99.0000 21.0000 2M15015827-4544559  
-34.482372  11.327156  6.6652  0.7605 -6.4293  0.0224  2.8232  0.0219 -0.2739  -76.3739    0.3094  1.0000 -99.0000 -0.5075  0.3417 -99.0000 22.0000 2M15020336-4544195  
-34.463844  11.308678  6.4717  1.1698 -7.1214  0.0367 -0.9175  0.0335 -0.2462  135.9532    1.2007  1.0000 -99.0000 -0.4862  0.3285 -99.0000 23.0000 2M15021192-4544453  
-33.816232  12.332394  6.1469  0.7958 -1.2666  0.0321 -0.6630  0.0340 -0.2078   -2.5387    4.1837  1.0000 -99.0000 -0.6866  0.3927 -99.0000 24.0000 2M15022852-4432344  
-34.149800  11.720695  5.6163  0.6551 -3.1075  0.0197 -0.2033  0.0209 -0.2056 -108.8918    0.3040  1.0000 -99.0000 -0.3216  0.2895 -99.0000 25.0000 2M15023440-4514094  
-33.872173  12.200256  6.4446  0.6370 -5.0916  0.0286  3.0011  0.0322 -0.0010  -56.6140    0.3351  1.0000 -99.0000 -0.4503  0.3523 -99.0000 26.0000 2M15023446-4441053  
-33.843427  12.239475  6.1635  0.5468 -6.4576  0.0159  0.1844  0.0183 -0.0202  -73.2095    0.2172  1.0000 -99.0000 -0.5030  0.3097 -99.0000 27.0000 2M15023618-4438125  
-34.111361  11.667244  5.7680  0.6178 -9.9241  0.0290 -1.0883  0.0264 -0.1633  -21.0746    0.4576  1.0000 -99.0000 -0.4484  0.2314 -99.0000 29.0000 2M15025455-4515500  
-33.598292  12.480011  5.5331  0.6518 -5.0867  0.0195 -1.5404  0.0287 -0.2002  -56.5705    0.2512  1.0000 -99.0000 -0.7165  0.3640 -99.0000 30.0000 2M15030620-4418337  
-33.669178  12.313719  5.4940  1.0181 -5.6788  0.0346  0.2233  0.0450  0.0945  -76.2953    0.8883  1.0000 -99.0000 -0.6026  0.2828 -99.0000 31.0000 2M15031367-4429172  
