l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-34.241349  11.840152  8.3975  0.2232 -8.4746  0.0270  0.6517  0.0285 -0.2743  -49.7778    0.4994  1.0000 -99.0000 -0.2017  0.2654 -99.0000 17.0000 2M15014784-4510331  
-34.500595  11.325569  7.7817  0.5299 -6.4575  0.0202  0.0853  0.0206 -0.1613  -86.2668    0.0872  1.0000 -99.0000 -0.2841  0.2353 -99.0000 21.0000 2M15015827-4544559  
-33.816232  12.332394  6.4974  0.2241 -1.2666  0.0321 -0.6630  0.0340 -0.2078   -2.5387    4.1837  1.0000 -99.0000 -0.6866  0.3927 -99.0000 24.0000 2M15022852-4432344  
-34.149800  11.720695  8.0166  1.2757 -3.1075  0.0197 -0.2033  0.0209 -0.2056 -108.8918    0.3040  1.0000 -99.0000 -0.3216  0.2895 -99.0000 25.0000 2M15023440-4514094  
-33.872173  12.200256  6.0635  0.2026 -5.0916  0.0286  3.0011  0.0322 -0.0010  -56.6140    0.3351  1.0000 -99.0000 -0.4503  0.3523 -99.0000 26.0000 2M15023446-4441053  
-33.843427  12.239475  7.5714  0.1777 -6.4576  0.0159  0.1844  0.0183 -0.0202  -73.2095    0.2172  1.0000 -99.0000 -0.5030  0.3097 -99.0000 27.0000 2M15023618-4438125  
-34.111361  11.667244  6.3267  0.2225 -9.9241  0.0290 -1.0883  0.0264 -0.1633  -21.0746    0.4576  1.0000 -99.0000 -0.4484  0.2314 -99.0000 29.0000 2M15025455-4515500  
-33.598292  12.480011  8.3468  0.0618 -5.0867  0.0195 -1.5404  0.0287 -0.2002  -56.5705    0.2512  1.0000 -99.0000 -0.7165  0.3640 -99.0000 30.0000 2M15030620-4418337  
-33.669178  12.313719  6.5332  0.1382 -5.6788  0.0346  0.2233  0.0450  0.0945  -76.2953    0.8883  1.0000 -99.0000 -0.6026  0.2828 -99.0000 31.0000 2M15031367-4429172  
-34.119427  11.477346  8.3025  0.4539 -8.9304  0.0247  3.3666  0.0209 -0.0995  -74.4055    0.4235  1.0000 -99.0000 -0.3541  0.3160 -99.0000 33.0000 2M15032424-4525585  
-34.154381  11.401056  8.6916  0.2420 -6.1886  0.0222 -1.4844  0.0232 -0.2542 -115.8503    0.2856  1.0000 -99.0000 -0.2253  0.2812 -99.0000 35.0000 2M15032695-4530582  
-33.640103  12.202618  6.2162  0.1229 -7.2437  0.0258 -0.5166  0.0412  0.0083   -3.5719    0.3107  1.0000 -99.0000 -0.6803  0.3123 -99.0000 36.0000 2M15034053-4434137  
-34.003534  11.550872  8.3462  0.4685 -8.7016  0.0366 -0.9473  0.0298 -0.1197  -44.0801    0.2549  1.0000 -99.0000 -0.3230  0.2900 -99.0000 38.0000 2M15034551-4518461  
-34.147179  11.292315  7.9489  0.7436 -5.4025  0.0187 -1.0417  0.0203 -0.2676    2.0525    0.2885  1.0000 -99.0000 -0.2332  0.3097 -99.0000 39.0000 2M15034751-4536258  
-34.010965  11.461363  6.5718  0.3460 -6.4941  0.0308  0.9539  0.0289 -0.2029 -110.0949    0.2543  1.0000 -99.0000  0.0065  0.0451 -99.0000 41.0000 2M15035850-4523389  
-33.915786  11.562900  7.2112  0.1889 -4.3175  0.0246  0.8601  0.0274 -0.0874  -65.0726    0.2423  1.0000 -99.0000 -0.4579  0.2703 -99.0000 43.0000 2M15040892-4515348  
-34.085011  11.175629  8.1095  0.1861 -2.8563  0.0214  1.7637  0.0207 -0.1209  -97.7857    0.1745  1.0000 -99.0000  0.0795  0.0963 -99.0000 44.0000 2M15042556-4540415  
-34.091674  11.159765  5.9842  0.1434 -2.9604  0.0379 -1.7777  0.0287 -0.1954  -74.7008    0.3400  1.0000 -99.0000 -0.3178  0.2491 -99.0000 45.0000 2M15042633-4541427  
-34.026515  11.266003  6.6490  0.3877 -8.0767  0.0243  0.7922  0.0249 -0.2258   30.7790    0.1346  1.0000 -99.0000 -0.0599  0.0638 -99.0000 46.0000 2M15042722-4534165  
-34.055964  11.190128  6.4582  0.1735 -6.8406  0.0317  0.0235  0.0303 -0.1289 -143.3818    0.3125  1.0000 -99.0000 -0.2147  0.2474 -99.0000 47.0000 2M15043158-4539053  
-33.917323  11.351025  8.8993  0.4042 -5.5510  0.0187  1.5606  0.0219 -0.0954  -87.5543    0.2446  1.0000 -99.0000 -0.3356  0.3128 -99.0000 49.0000 2M15044450-4526391  
-33.941967  11.210148  8.2004  0.5496 -6.8133  0.0239 -0.8334  0.0226 -0.0178  -97.0209    0.2679  1.0000 -99.0000 -0.2902  0.2668 -99.0000 50.0000 2M15050141-4534420  
-33.372246  12.118192  6.2567  0.1715 -7.5557  0.0288 -1.1453  0.0334 -0.1689  -58.4851    0.3939  1.0000 -99.0000 -0.4130  0.2148 -99.0000 51.0000 2M15051112-4430465  
-33.589553  11.749284  5.5750  0.1249 -5.0652  0.0267  3.0600  0.0402  0.0122  -17.4325    0.2803  1.0000 -99.0000 -0.6381  0.3593 -99.0000 52.0000 2M15051144-4456195  
-33.500973  11.688855  6.7572  0.1900 -6.5650  0.0231 -0.7409  0.0234 -0.1742 -122.2689    0.1004  1.0000 -99.0000 -0.1068  0.2630 -99.0000 53.0000 2M15054716-4456508  
-33.510385  11.579876  7.1639  0.1479 -10.0610  0.0160  0.4135  0.0190 -0.1934   30.3778    0.3813  1.0000 -99.0000 -0.3156  0.3042 -99.0000 54.0000 2M15060306-4502465  
-33.452132  11.617798  7.2541  0.5731 -5.0019  0.0299 -0.7904  0.0344 -0.1386  -11.9728    0.2482  1.0000 -99.0000 -0.4489  0.3531 -99.0000 55.0000 2M15061331-4459051  
-33.299788  11.853460  8.1987  0.1695 -6.7277  0.0313 -0.9164  0.0285 -0.2302 -162.7322    0.2510  1.0000 -99.0000 -0.5954  0.3779 -99.0000 56.0000 2M15061668-4442218  
-33.315442  11.818976  7.7365  0.3135 -6.8170  0.0211  0.9381  0.0196 -0.2463  -51.6636    0.4798  1.0000 -99.0000 -0.2637  0.2648 -99.0000 57.0000 2M15061809-4444367  
-33.627717  11.214211  7.5286  0.1629 -6.8408  0.0341 -1.9081  0.0388 -0.1112 -103.4232    0.4138  1.0000 -99.0000 -0.4252  0.2068 -99.0000 59.0000 2M15063200-4525123  
-33.288087  11.588829  6.2815  0.3153 -4.2086  0.0306 -3.3120  0.0333 -0.2375  -10.5015    0.2765  1.0000 -99.0000 -0.6387  0.3547 -99.0000 61.0000 2M15070529-4455428  
-30.668175  12.825543  5.4687  0.3688 -5.7566  0.0291  0.7283  0.0272 -0.1950  -92.3427    0.5165  1.0000 -99.0000 -0.2808  0.2506 -99.0000 62.0000 2M15153631-4232124  
-30.632756  12.840224  6.0580  0.3520 -5.8601  0.0241  0.5568  0.0282 -0.1801 -125.0971    0.3175  1.0000 -99.0000 -0.3226  0.3018 -99.0000 64.0000 2M15154323-4230210  
-30.942798  12.326267  5.7192  0.3079 -6.6382  0.0257  0.2714  0.0237 -0.1524 -108.5471    0.3960  1.0000 -99.0000  0.0747  0.1087 -99.0000 65.0000 2M15155002-4306068  
-30.673694  12.692060  6.8570  0.3261 -3.7354  0.0189 -1.8534  0.0205 -0.2077   19.8205    0.1988  1.0000 -99.0000 -0.3748  0.3312 -99.0000 68.0000 2M15155821-4239079  
-30.904279  12.314504  8.6157  0.1485 -5.7765  0.0229 -0.3324  0.0216 -0.1621   -7.1839    0.2125  1.0000 -99.0000 -0.1264  0.2089 -99.0000 69.0000 2M15160253-4305297  
-30.624004  12.705219  7.2540  0.5786 -5.2997  0.0242  2.3364  0.0289 -0.1790 -107.8506    0.3519  1.0000 -99.0000 -0.5476  0.3421 -99.0000 71.0000 2M15160924-4236541  
-30.939269  12.213956  7.8186  0.1854 -4.3446  0.0277  0.9206  0.0262 -0.2167  -99.9428    0.4468  1.0000 -99.0000 -0.5413  0.3823 -99.0000 72.0000 2M15161082-4311411  
-30.660793  12.603905  9.6383  0.2994 -4.6976  0.0457 -1.2027  0.0370 -0.2837 -100.3756    0.2465  1.0000 -99.0000 -0.4154  0.3497 -99.0000 74.0000 2M15161717-4243110  
-30.634914  12.616756  5.8482  0.1690 -13.4582  0.0265 -2.2961  0.0212 -0.2955  -43.4754    0.7761  1.0000 -99.0000 -0.4581  0.3493 -99.0000 76.0000 2M15162187-4241430  
-30.683990  12.535262  6.5115  0.1344 -11.4606  0.0227  0.2491  0.0232 -0.4023 -131.5989    0.3180  1.0000 -99.0000 -0.6197  0.3558 -99.0000 77.0000 2M15162304-4247231  
-30.761449  12.402678  5.5730  0.5147 -0.9147  0.0187  2.1982  0.0279 -0.3927   81.1131    0.3375  1.0000 -99.0000 -0.3453  0.1255 -99.0000 78.0000 2M15162556-4256320  
-30.397465  12.953412  6.1019  0.6597 -4.5309  0.0257 -4.8773  0.0409  0.0280   25.2810    0.3213  1.0000 -99.0000 -0.4221  0.3159 -99.0000 80.0000 2M15162619-4217129  
-30.739315  12.408616  6.1927  0.1693 -9.1427  0.0251  1.3313  0.0348 -0.4325  -32.6023    0.2703  1.0000 -99.0000 -0.4097  0.2922 -99.0000 81.0000 2M15163049-4255320  
-30.446349  12.817046  5.6646  0.1376 -5.6084  0.0230  1.0214  0.0280 -0.0901  -32.0229    0.2292  1.0000 -99.0000 -0.1883  0.1841 -99.0000 83.0000 2M15163710-4225387  
-30.888346  12.132116  5.9839  0.1435 -5.3291  0.0253 -1.4199  0.0264 -0.2602  -48.1575    0.2525  1.0000 -99.0000 -0.3409  0.2730 -99.0000 85.0000 2M15163914-4314130  
-30.912410  12.073778  8.2418  1.1831 -7.5820  0.0274 -3.2749  0.0254 -0.2206  -26.2019    0.2329  1.0000 -99.0000 -0.4957  0.3733 -99.0000 86.0000 2M15164298-4317555  
-34.492617   6.451062  6.1381  0.1608 -8.6061  0.0227  0.8582  0.0226 -0.0832  -58.4282    0.1872  1.0000 -99.0000  0.0385  0.1817 -99.0000 87.0000 2M15165012-4956195  
-34.509284   6.422856  7.9297  0.0189 -2.9872  0.0245 -3.6138  0.0230 -0.1460 -114.3231    0.7197  1.0000 -99.0000 -0.5712  0.3319 -99.0000 88.0000 2M15165045-4958171  
-34.560827   6.327032  7.9210  0.4754 -5.9179  0.0393 -2.3649  0.0485 -0.0673  -76.4600    0.2252  1.0000 -99.0000 -0.2271  0.2266 -99.0000 89.0000 2M15165324-5004474  
-30.882776  12.055426  7.8787  0.1940 -7.3984  0.0266  0.5549  0.0272 -0.2309  -32.3065    0.1729  1.0000 -99.0000 -0.1993  0.2412 -99.0000 90.0000 2M15165430-4317549  
-30.840627  12.095422  8.1867  0.1672 -7.6140  0.0280  0.8772  0.0320 -0.2733  -39.3403    0.3023  1.0000 -99.0000 -0.4015  0.3152 -99.0000 91.0000 2M15165862-4314337  
-30.287513  12.932848  6.2786  0.3048 -3.7155  0.0289 -2.7515  0.0400  0.0024 -112.1601    0.6433  1.0000 -99.0000 -0.7609  0.3443 -99.0000 92.0000 2M15165904-4214465  
