l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-34.055943  11.190086  6.4398  0.1308 -6.8406  0.0317  0.0235  0.0303   0.0303 -143.3818    0.0944  1.0000 -99.0000 -0.2147  0.2474  6.3195 56.0000 2M15043158-4539053  
-33.917296  11.351016  6.9572  0.3241 -5.5510  0.0187  1.5606  0.0219   0.0219  -87.5543    0.0592  1.0000 -99.0000 -0.3356  0.3128  8.6001 57.0000 2M15044450-4526391  
-33.383949  12.192905  6.3661  0.0895 -1.8952  0.0320 -0.8017  0.0336   0.0336   -9.2679    0.2255  1.0000 -99.0000 -0.3818  0.3118  6.1364 58.0000 2M15045518-4427145  
-33.594700  11.703977  5.8882  0.2124 -9.3016  0.0229  0.8448  0.0289   0.0289  -86.5368    0.0591  1.0000 -99.0000 -0.3798  0.3623  9.9832 61.0000 2M15051765-4458497  
-33.500918  11.688865  6.2953  0.2463 -6.5650  0.0231 -0.7409  0.0234   0.0234 -122.2689    0.0093  1.0000 -99.0000 -0.1068  0.2630  8.7196 63.0000 2M15054716-4456508  
-33.313883  11.980877  7.8221  0.2800 -8.3792  0.0264  0.9860  0.0278   0.0278 -136.5579    0.0922  1.0000 -99.0000 -0.3984  0.2925  7.6391 64.0000 2M15055097-4436107  
-33.294973  11.958149  5.6513  0.0789 -4.3787  0.0271  1.2669  0.0287   0.0287   41.1101    0.1058  1.0000 -99.0000 -0.3314  0.2965  6.1937 65.0000 2M15060022-4436479  
-33.510330  11.579895  6.9659  0.4299 -10.0610  0.0160  0.4135  0.0190   0.0190   30.3778    0.1447  1.0000 -99.0000 -0.3156  0.3042  9.3676 66.0000 2M15060306-4502465  
-33.380089  11.689526  5.2555  0.2110 -5.2207  0.0201  0.5409  0.0215   0.0215  -80.3173    0.0920  1.0000 -99.0000 -0.1159  0.2708  7.9979 69.0000 2M15062169-4453142  
-33.483236  11.323648  7.2188  0.4580 -5.7366  0.0339  0.3927  0.0367   0.0367  -66.5870    0.2058  1.0000 -99.0000 -0.3591  0.3238  9.0344 71.0000 2M15065487-4515147  
-33.424696  11.382856  7.1193  0.3138 -7.7439  0.0205 -0.7736  0.0224   0.0224  -27.8103    0.0637  1.0000 -99.0000 -0.2347  0.2675  9.0848 72.0000 2M15070153-4510263  
-30.668147  12.825535  5.2775  0.4612 -5.7566  0.0291  0.7283  0.0272   0.0272  -92.3427    0.2663  1.0000 -99.0000 -0.2808  0.2506  9.8531 74.0000 2M15153631-4232124  
-30.632720  12.840213  5.9981  0.2395 -5.8601  0.0241  0.5568  0.0282   0.0282 -125.0971    0.0994  1.0000 -99.0000 -0.3226  0.3018  8.2699 76.0000 2M15154323-4230210  
-30.796757  12.564788  6.3227  0.1099 -5.4677  0.0300  1.8761  0.0321   0.0321 -140.5697    0.1439  1.0000 -99.0000 -0.3755  0.2836  5.5886 77.0000 2M15154748-4249268  
-30.942773  12.326283  5.4426  0.1699 -6.6382  0.0257  0.2715  0.0237   0.0237 -108.5471    0.1559  1.0000 -99.0000  0.0747  0.1087  5.8670 78.0000 2M15155002-4306068  
-30.673667  12.692089  6.5913  0.4563 -3.7354  0.0189 -1.8534  0.0205   0.0205   19.8205    0.0391  1.0000 -99.0000 -0.3748  0.3312  6.9223 79.0000 2M15155821-4239079  
-30.904253  12.314525  6.9738  0.2950 -5.7765  0.0229 -0.3324  0.0216   0.0216   -7.1839    0.0445  1.0000 -99.0000 -0.1264  0.2089  8.2806 80.0000 2M15160253-4305297  
-30.761453  12.402680  5.7478  0.2534 -0.9147  0.0187  2.1982  0.0279   0.0279   81.1131    0.1135  1.0000 -99.0000 -0.3453  0.1255  7.4896 86.0000 2M15162556-4256320  
-30.628332  12.581275  4.8352  0.1927 -1.2514  0.0383 -0.1847  0.0387   0.0387  -61.3172    0.0752  1.0000 -99.0000 -0.0813  0.2068  8.7191 89.0000 2M15162987-4243183  
-30.446316  12.817049  5.4511  0.0913 -5.6084  0.0230  1.0214  0.0280   0.0280  -32.0229    0.0510  1.0000 -99.0000 -0.1883  0.1841  6.7008 91.0000 2M15163710-4225387  
-30.888336  12.132135  5.7456  0.0767 -5.3291  0.0253 -1.4199  0.0264   0.0264  -48.1575    0.0618  1.0000 -99.0000 -0.3409  0.2730  5.8784 93.0000 2M15163914-4314130  
-34.560809   6.327058  6.0408  0.2418 -5.9179  0.0393 -2.3649  0.0485   0.0485  -76.4600    0.0491  1.0000 -99.0000 -0.2271  0.2266  5.2539 97.0000 2M15165324-5004474  
-30.882748  12.055424  7.3375  0.3537 -7.3984  0.0266  0.5549  0.0272   0.0272  -32.3065    0.0292  1.0000 -99.0000 -0.1993  0.2412  8.6996 98.0000 2M15165430-4317549  
-30.542215  12.430459  5.5716  0.2422 -1.5312  0.0262 -0.1640  0.0317   0.0317  -52.8002    0.1164  1.0000 -99.0000 -0.3252  0.3332  9.4087 102.0000 2M15171964-4248114  
-34.201870   6.746055  5.5201  0.1624 -8.8451  0.0310 -0.3432  0.0376   0.0376  -28.6156    0.1057  1.0000 -99.0000  0.2839  0.0461  5.2917 103.0000 2M15172266-4932072  
-30.549824  12.376006  5.0815  0.1971 -8.1386  0.0310  0.9932  0.0346   0.0346 -103.4788    0.1471  1.0000 -99.0000 -0.2430  0.2731  8.9968 104.0000 2M15172726-4251107  
-34.148183   6.805754  7.3150  0.3447 -7.3458  0.0238  0.4114  0.0276   0.0276  -29.2162    3.5266  1.0000 -99.0000 -0.1201  0.2307  7.4837 105.0000 2M15172757-4927231  
-34.312913   6.541046  8.0483  0.4005 -8.0293  0.0333 -0.2533  0.0329   0.0329  -34.0788    2.4047  1.0000 -99.0000 -0.0862  0.0790  5.4437 107.0000 2M15172856-4946033  
-34.298019   6.553423  6.2381  0.2956 -8.6652  0.0277  0.4887  0.0320   0.0320  -58.5480    0.0147  1.0000 -99.0000  0.0272  0.1569  8.0434 108.0000 2M15173076-4944572  
-30.348150  12.659166  5.2927  0.0868 -8.4031  0.0232  3.2327  0.0353   0.0353  -36.3362    0.0993  1.0000 -99.0000 -0.2915  0.2741  6.2628 109.0000 2M15173111-4230298  
-34.572433   6.114685  5.8780  0.1010 -6.9173  0.0391 -1.6857  0.0534   0.0534  -44.9830    0.3124  1.0000 -99.0000  0.1036  0.1518  6.8595 110.0000 2M15173189-5015570  
-34.503952   6.196732  7.2798  0.5827 -6.1604  0.0218 -0.6238  0.0289   0.0289  -31.8977    0.1131  1.0000 -99.0000  0.2804  0.0398  7.9162 111.0000 2M15173710-5009364  
-34.613981   5.997371  7.5443  0.3604 -7.3286  0.0324 -0.4680  0.0493   0.0493  -65.6514    0.0802  1.0000 -99.0000 -0.0845  0.1325  7.6449 112.0000 2M15174225-5023136  
-30.629829  12.166210  6.4003  0.2638 -9.3465  0.0332  0.9148  0.0438   0.0438 -162.0680    0.1233  1.0000 -99.0000 -0.2337  0.3023  7.6414 113.0000 2M15174302-4304179  
-34.513938   6.110270  5.1655  0.4411 -5.7593  0.0310 -0.7699  0.0421   0.0421  -96.3514    0.0442  1.0000 -99.0000  0.2120  0.0939  6.8811 115.0000 2M15175124-5014188  
-34.326014   6.396666  6.0035  0.3387 -4.9545  0.0382  0.1224  0.0385   0.0385  -63.4347    0.6145  1.0000 -99.0000 -0.0292  0.0618  6.4569 116.0000 2M15175313-4953480  
-30.569741  12.183026  6.7632  0.2392 -8.1673  0.0324  0.7832  0.0345   0.0345  -56.0913    0.4713  1.0000 -99.0000 -0.3103  0.1893  8.0793 117.0000 2M15175623-4301323  
-30.498287  12.245906  6.1799  0.2557 -7.3312  0.0193  2.3095  0.0201   0.0201 -103.7519    7.5558  1.0000 -99.0000  0.0317  0.1546  5.6967 118.0000 2M15180425-4256056  
-34.599375   5.907190  5.2544  0.1091 -8.2687  0.0325 -0.8885  0.0533   0.0533  -54.3835    0.1725  1.0000 -99.0000  0.1765  0.0658  6.3617 119.0000 2M15180501-5027203  
-34.360712   6.250843  6.7517  0.3305 -2.8245  0.0278 -1.1894  0.0339   0.0339   18.7802    0.1008  1.0000 -99.0000 -0.3077  0.3204  9.7267 121.0000 2M15181134-5002180  
-30.494774  12.085907  5.1020  0.1623 -1.1590  0.0323 -1.3782  0.0344   0.0344    8.4587    0.1479  1.0000 -99.0000 -0.2896  0.2746  8.7755 128.0000 2M15183377-4304020  
-30.638049  11.843924  5.7654  0.2432 -6.0202  0.0173 -0.3974  0.0221   0.0221  -55.3660    0.0592  1.0000 -99.0000 -0.2557  0.2427  7.9553 129.0000 2M15183849-4320474  
-34.197005   6.340358  7.4910  0.3326 -7.0680  0.0483 -0.3063  0.0687   0.0687 -109.2735    0.0957  1.0000 -99.0000 -0.2263  0.2472  9.1204 131.0000 2M15184469-4952320  
-30.054542  12.670165  5.2463  0.1044 -7.6700  0.0203 -0.1947  0.0279   0.0279  -14.8904    0.4118  1.0000 -99.0000 -0.2286  0.1650  3.0257 133.0000 2M15184726-4220347  
-30.537379  11.933471  5.7848  0.0820 -4.1148  0.0281 -2.3714  0.0297   0.0297  -64.4352    0.0562  1.0000 -99.0000 -0.2710  0.2689  5.9651 135.0000 2M15184962-4313039  
-34.384424   5.980788  6.2020  0.3138 -5.3989  0.0541  1.1258  0.0755   0.0755  -71.1292    0.0623  1.0000 -99.0000 -0.2610  0.1298  5.8600 140.0000 2M15185810-5016442  
-34.215201   6.241418  4.9950  0.0659 -6.3445  0.0272  0.2056  0.0357   0.0357 -135.3968    0.0723  1.0000 -99.0000 -0.1300  0.0811  4.6169 141.0000 2M15185881-4958075  
-30.062237  12.536679  5.6981  0.2348 -6.1452  0.0181 -0.4689  0.0157   0.0157  -94.1017    0.0331  1.0000 -99.0000 -0.3719  0.2943  8.3009 144.0000 2M15190896-4227317  
-29.886568  12.779081  4.9650  0.2232 -3.3605  0.0302  0.6856  0.0379   0.0379  -65.1983    0.1587  1.0000 -99.0000 -0.2533  0.2937  8.7611 145.0000 2M15191237-4209436  
-33.830461   6.736521  5.9794  0.1350 -5.7954  0.0389 -1.1972  0.0574   0.0574  -57.2570    0.1138  1.0000 -99.0000 -0.0206  0.1501  6.8792 148.0000 2M15191948-4920446  
-30.010995  12.533061  6.2071  0.1409 -3.3649  0.0341 -2.9929  0.0323   0.0323  -33.6139    0.1306  1.0000 -99.0000 -0.3524  0.2759  6.4103 149.0000 2M15192322-4226039  
-33.853630   6.678946  6.5058  0.3545 -6.4549  0.0287  0.0141  0.0388   0.0388  -79.9053    0.0269  1.0000 -99.0000  0.0773  0.0624  7.3641 150.0000 2M15192378-4924238  
-30.388764  11.867023  5.2824  0.3251 -4.7163  0.0153 -1.2301  0.0216   0.0216  -79.1871    0.6064  1.0000 -99.0000 -0.2858  0.2996  8.9139 155.0000 2M15194167-4311379  
-33.752616   6.741610  6.4838  0.3649 -4.4170  0.0388 -0.6889  0.0439   0.0439  -65.1247    0.0900  1.0000 -99.0000  0.1630  0.0535  4.8314 156.0000 2M15194244-4917590  
-29.734456  12.833950  5.8339  0.2282 -6.0541  0.0205  1.1704  0.0233   0.0233  -54.6743    0.0719  1.0000 -99.0000 -0.2593  0.2771  8.3376 158.0000 2M15194271-4202052  
-34.226572   6.000655  6.6349  0.2860 -7.0938  0.0143 -1.8892  0.0258   0.0258  -22.4063    0.0882  1.0000 -99.0000 -0.3941  0.3165  8.1049 159.0000 2M15194373-5010398  
-33.958937   6.396976  6.1859  0.2391 -6.1351  0.0262 -1.6610  0.0302   0.0302    0.4314    0.0885  1.0000 -99.0000 -0.1240  0.1889  6.8845 161.0000 2M15194748-4942017  
-29.952880  12.460378  6.6274  0.3373 -3.2056  0.0226  1.0387  0.0228   0.0228 -105.6931    0.1506  1.0000 -99.0000 -0.2313  0.2243  3.1716 163.0000 2M15195162-4227504  
-33.990779   6.311704  5.0455  0.1382 -3.7900  0.0338  0.3418  0.0472   0.0472  -65.4767    0.0435  1.0000 -99.0000  0.3037  0.0789  5.8222 164.0000 2M15195470-4947215  
-30.345109  11.832381  5.8506  0.2737 -6.2611  0.0299  0.1359  0.0423   0.0423  -38.6554    0.0858  1.0000 -99.0000 -0.1767  0.2581  8.5041 166.0000 2M15195969-4311578  
-33.831861   6.531274  8.4331  0.4157 -5.8171  0.0246 -0.4714  0.0306   0.0306  -45.1474    0.0127  1.0000 -99.0000 -0.1241  0.1614  8.2722 167.0000 2M15195994-4931092  
